20001212X21429,DEN00FA141,-41.01166666666666,-105.10888888888888,NONE,N,N252KD,1V5 ,
20001212X21493,LAX00FA283,-41.98222222222223,-114.66361111111112,NONE,N,N5853Q,06U ,JER 
20001212X21498,LAX00LA251,-32.115833333333335,-110.94083333333333,NONE,N,N2196T,TUC ,
20001212X21503,LAX00LA257,-36.916666666666664,-121.83333333333333,NONE,N,N4426X,KWVI,
20001212X21522,LAX00LA282,-40.5,-122.5,NONE,N,N540EX,CRQ ,
20001212X21525,LAX00MA273,-20.871666666666666,-156.58166666666665,CVFR,Y,N510TG,OGG ,OGG 
20001212X21532,MIA00FA221,-34.74777777777778,-90.08111111111111,IFR ,N,N158MT,KMEM,KHOU
20001212X21533,MIA00FA229,-35.849722222222226,-78.75111111111111,VFR ,Y,N201RH,OC2 ,LHZ 
20001212X21534,MIA00LA196,-32.34388888888889,-86.98777777777778,NONE,N,N26937,SEM ,MVC 
20001212X21535,MIA00LA197,-33.14527777777778,-90.51527777777778,NONE,N,N53208,1M2 ,
20001212X21721,FTW00FA245,-30.0,-99.38361111111112,NONE,N,N421NT,PEQ ,SAT 
20001212X21740,IAD00FA079,-40.40361111111111,-76.22500000000001,NONE,N,N9436V,9D4 ,8PA1
20001212X21741,IAD00LA070,-39.50527777777778,-84.12194444444444,NONE,N,N37SK,NONE,
20001212X21747,IAD00FA076,-43.2,-70.23333333333333,IFR ,Y,N411JL,PSM ,CYAU
20001212X21751,LAX00FA300,-34.7925,-116.48583333333333,NONE,N,N878R,A09 ,TOA 
20001212X21753,LAX00FA306,-36.89555555555555,-121.79416666666667,NONE,N,N8313Z,WVI ,WVI 
20001212X21754,LAX00FA310,-19.716666666666665,-155.03333333333333,VFR ,N,N923BA,KOA ,
20001212X21758,LAX00FA324,-33.64277777777778,-111.8175,NONE,N,N4905V,U96 ,P19 
20001212X21760,LAX00GA297,-39.56666666666667,-117.81555555555555,CVFR,N,N174EH,,
20001212X21763,LAX00LA285,-37.831944444444446,-121.40305555555557,NONE,N,N6737K,,
20001212X21764,LAX00LA287,-38.34444444444445,-121.81055555555555,NONE,N,N300RE,8Q0 ,2Q3 
20001212X21765,LAX00LA288,-37.894444444444446,-121.23861111111111,NONE,N,N39KH,FAT ,SCK 
20001212X21865,SEA00LA159,-45.18333333333333,-123.13333333333334,NONE,N,N450UR,SLE ,MMV 
20001212X21881,ANC00FA128,-61.040277777777774,-157.17305555555555,NONE,N,N42472,,ANI 
20001212X21902,ANC00MA125,-70.20555555555556,-151.01916666666668,VFR ,Y,N220CS,PASC,PAQT
20001212X21995,IAD00LA085,-38.11666666666667,-83.75,NONE,N,N94326,HEF ,IOB 
20001212X21997,LAX00FA322,-38.89388888888889,-119.99527777777777,IFR ,N,N88AM,TVL ,SDM 
20001212X22020,LAX00LA348,-38.255,-120.93333333333334,NONE,N,N37820,PVT ,
20001212X22027,LAX00TA355,-33.69166666666666,-112.08222222222221,NONE,N,N331SD,DVT ,DVT 
20001212X22029,MIA00FA260,-28.22,-82.62333333333332,NONE,N,N3WT,3FD1,
20001212X22031,MIA00GA264,-35.43805555555555,-83.06055555555555,NONE,N,N525BM,1A5 ,
20001212X22048,NYC00FA248,-41.4375,-71.54194444444444,IFR ,Y,N8230G,CQX ,PNE 
20001212X22101,ANC01FA011,-60.766666666666666,-161.84111111111113,IFR ,Y,N575D,ANC ,BET 
20001212X22135,CHI01MA006,-37.65,-97.43305555555555,VFR ,N,CFTBZ,ICT ,ICT 
20001212X22150,FTW01FA013,-35.379444444444445,-97.5961111111111,IFR ,Y,N9485T,OKC ,E42 
20001212X22153,FTW01FA017,-28.738055555555558,-92.63,CVFR,N,N26WW,,
20001212X22166,IAD01LA002,-40.06666666666667,-75.0,NONE,N,N9394L,PNE ,
20001212X22168,IAD01LA004,-39.23527777777778,-78.01166666666667,NONE,N,N21CY,OKV ,61VA
20001212X22169,IAD01LA007,-40.74611111111111,-77.29027777777777,NONE,N,N279W,1N9 ,UNV 
20001212X22175,LAX01FA001,-36.82833333333333,-121.57638888888889,NONE,N,N36TV,MMH ,WVI 
20001212X22176,LAX01FA003,-38.51305555555555,-122.86222222222221,IFR ,Y,N2373D,STS ,CCR 
20001212X22177,LAX01FA004,-34.149166666666666,-117.78333333333333,IFR ,Y,N222ES,CNO ,POC 
20001212X22180,LAX01FA011,-35.96666666666667,-115.11666666666666,NONE,N,N2434T,L15 ,L45 
20001212X22181,LAX01FA014,-36.61277777777778,-121.8711111111111,NONE,N,N1344G,MRY ,SAC 
20001212X22183,LAX01FA023,-35.44333333333333,-115.46333333333334,VFR ,N,N40VF,67L ,L18 
20001212X22195,LAX01LA019,-37.98972222222222,-122.05694444444444,NONE,N,N398DE,CCR ,SJC 
