date,time,borough,zipcode,latitude,longitude,location,on_street,cross_street,off_street,inj,kill,ped_inj,ped_kill,cyc_inj,cyc_kill,mot_inj,mot_kill,cf_veh1,cf_veh2,cf_veh3,cf_veh4,cf_veh5,uniquekey,vehcode1,vehcode2,vehcode3,vehcode4,vehcode5
2018-03-17,10:00:00,,,40.712833,-73.82741,"(40.712833,-73.82741)",82 AVENUE                       ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864269,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,10:00:00,,,40.68342,-73.982,"(40.68342,-73.982)",BERGEN STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864261,PASSENGER VEHICLE,,,,
2018-03-17,10:00:00,,,40.807903,-73.92005,"(40.807903,-73.92005)",EAST 138 STREET                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3864245,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:00:00,,,40.684166,-73.92931,"(40.684166,-73.92931)",REID AVENUE                     ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864847,TK,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:00:00,,,40.596508,-73.977516,"(40.596508,-73.977516)",WEST 6 STREET                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864262,PICK-UP TRUCK,PASSENGER VEHICLE,,,
2018-03-17,10:04:00,BROOKLYN,11209,40.61651,-74.02666,"(40.61651,-74.02666)",92 STREET                       ,GATLING PLACE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3864315,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,10:05:00,BROOKLYN,11203,40.64872,-73.92115,"(40.64872,-73.92115)",,,5912      TILDEN AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3865072,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
2018-03-17,10:15:00,MANHATTAN,10003,40.72879,-73.99236,"(40.72879,-73.99236)",,,418       LAFAYETTE STREET              ,0,0,0,0,0,0,0,0,Following Too Closely,Outside Car Distraction,,,,3864396,BR,TAXI,,,
2018-03-09,16:56:00,,,40.738117,-73.7973,"(40.738117,-73.7973)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3859750,PASSENGER VEHICLE,,,,
2018-03-17,10:15:00,QUEENS,11434,40.67912,-73.778244,"(40.67912,-73.778244)",,,165-02    BAISLEY BOULEVARD             ,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3865548,PASSENGER VEHICLE,,,,
2018-03-17,10:15:00,,,40.80117,-73.961464,"(40.80117,-73.961464)",WEST 109 STREET                 ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3865251,PASSENGER VEHICLE,TAXI,,,
2018-03-17,10:20:00,,,40.8284,-73.9453,"(40.8284,-73.9453)",WEST 150 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864251,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:20:00,QUEENS,11004,40.73675,-73.71104,"(40.73675,-73.71104)",HILLSIDE AVENUE                 ,257 STREET,,1,0,1,0,0,0,0,0,Glare,,,,,3864270,PASSENGER VEHICLE,,,,
2018-03-17,10:25:00,,,40.820145,-73.890656,"(40.820145,-73.890656)",BRUCKNER EXPRESSWAY             ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3864249,TAXI,TAXI,,,
